1;2;1,83088
2;3;1,369368
3;4;0,707449
5;4;2,321052
6;7;1,184179
8;6;1,566002
9;10;2,844957
11;3;3,22382
12;13;4,052974
13;66;3
14;4;4,976469
15;4;1,432809
16;17;0,008501
18;19;0,133956
20;19;0,145237
21;22;0,035044
23;22;0,50609
24;23;1,0609
25;26;0,038652
27;26;0,140175
28;29;0,293331
30;29;0,349281
31;30;0,5476
32;33;0,535824
34;17;0,026896
35;36;0,16769
37;36;0,502539
38;18;0,203581
39;40;0,802816
41;21;0,041209
42;41;0,08077
43;42;1,121481
44;45;0,257556
46;47;0,09641
48;47;0,116281
49;50;0,008501
51;52;0,133956
53;52;0,145237
54;55;0,035044
56;55;0,50609
57;56;1,0609
58;59;0,038652
60;59;0,140175
61;62;0,293331
62;63;0,292681
64;63;0,556964
65;66;0,535824
15;32;3
6;2;6,540295
9;2;4,052974
65;64;1,661521
17;18;0,243049
24;25;1,089936
31;32;1,661521
35;34;2,262618
39;38;0,806404
45;46;0,949455
50;51;0,243049
54;53;0,670761
58;57;1,089936
28;27;3
61;60;3
44;43;3
